Date,Open,High,Low,Close,Shares Traded,Turnover,MA13,PriceCrossover,PriceCrossoverSwitch,Target Close,VolumeMA7,VolumeDif,Target Close Percent,Last Week Gain,Last Week Gain Acceleration,Volatility7,Y Last Week Gain,GainFORCALC,LossFORCALC,Gain,Loss,Average Gain,Average Loss,RSI7,RSI7LOW,RSI7HIGH,Trend,PriceVolume,MA7PriceVolume,Month,GoldPRICE,GOLDUPDOWN,OilPRICE,OilUPDOWN,GOLDOILUPDOWN,InterestRate,IntersetRateOpen,InterestRateHigh,InterestRateLow,InterestRateChange,InterestChangeUpdown,AllUpdown
26/07/18,11132.95,11185.85,11125.7,11167.3,376657398,21595.33,11015.1125,152.1875,0,11387.1,217934885.7,158722512.3,1.97,159.25,-76.15,79.38347555,235.4,35.3,-35.3,35.3,0,30.35714286,7.607142857,77.91017415,0,0,469.8,12938181621,1602097088,Jul,29869,-1,4768,1,0,7.759,7.806,7.806,7.756,-0.0033,-1,-1
27/07/18,11232.75,11283.4,11210.25,11278.35,324343457,15203.09,11033.45,244.9,0,11389.45,240727716.9,83615740.14,0.99,297.9,170.35,63.87889491,127.55,111.05,-111.05,111.05,0,46.22142857,3.664285714,90.83380124,0,1,652.3,14790061639,6363830337,Jul,29722,-1,4782,1,0,7.78,7.766,7.788,7.762,0.0027,1,1
30/07/18,11296.65,11328.1,11261.45,11319.55,287435926,14716.66,11060.95417,258.5958333,0,11450,253847859.4,33588066.57,1.15,362.45,352.6,97.68240934,9.85,41.2,-41.2,41.2,0,52.10714286,0.328571429,97.51370138,0,1,819.6,6582282705,8649183769,Jul,29773,1,4719,-1,0,7.79,7.78,7.799,7.776,0.0013,1,1
31/07/18,11311.05,11366,11267.75,11356.5,264430889,15297.4,11085.65,270.85,0,11470.7,263187791.9,1243097.143,1.01,346.3,284.4,115.4655927,61.9,36.95,-36.95,36.95,0,49.8,0.328571429,97.4015088,0,1,1006.65,12018383905,9077548601,Jul,29660,-1,4822,1,0,7.772,7.797,7.797,7.769,-0.0023,-1,-1
01/08/18,11359.8,11390.55,11313.55,11346.2,278012697,14436.12,11113.78333,232.4166667,0,11429.5,273371617,4641080,0.73,261.45,199.9,117.3791425,61.55,-10.3,10.3,0,10.3,39.15,1.8,93.32538737,0,1,970.2,-3780972679,6347933188,Aug,29664,1,4717,-1,0,7.701,7.767,7.841,7.701,-0.0091,-1,-1
02/08/18,11328.9,11328.9,11234.95,11244.7,216533127,12267.66,11147.89583,96.80416667,0,11355.75,279351561.6,-62818434.57,0.99,110.4,-5,94.59081552,115.4,-101.5,101.5,0,101.5,32.07142857,16.3,64.95949074,0,0,718.15,-18232089293,2976226275,Aug,29577,1,4642,-1,0,7.721,7.698,7.732,7.681,0.0026,1,1
03/08/18,11297.8,11368,11294.55,11360.8,225146360,12984.66,11167.61667,193.1833333,0,11435.1,279963809,-54817449,0.65,228.8,33.65,95.7728886,195.15,116.1,-116.1,116.1,0,48.65714286,15.97142857,74.14018285,0,0,600.65,14184220680,5500009797,Aug,29428,1,4714,1,2,7.763,7.742,7.771,7.739,0.0054,1,3
06/08/18,11401.5,11427.65,11370.6,11387.1,210002582,11321.55,11199.3125,187.7875,0,11385.05,281794264.9,-71791682.86,-0.02,219.8,60.55,93.52204604,159.25,26.3,-26.3,26.3,0,47.37142857,15.97142857,73.62344583,0,0,559,-3024037181,3219692825,Aug,29491,-1,4712,-1,-2,7.768,7.754,7.773,7.747,0.0006,1,-1
07/08/18,11423.15,11428.95,11359.7,11389.45,233409612,12457.71,11235.14583,154.3041667,0,11470.75,257986434,-24576822,0.71,111.1,-186.8,85.96961049,297.9,2.35,-2.35,2.35,0,31.84285714,15.97142857,65.23266023,0,0,559.7,-7865903924,-16873683.91,Aug,29521,1,4740,1,2,7.786,7.772,7.787,7.757,0.0023,1,3
08/08/18,11412.5,11459.95,11379.3,11450,217047641,12422.62,11266.75,183.25,0,11551.75,244995884.7,-27948243.71,0.89,130.45,-232,100.393799,362.45,60.55,-60.55,60.55,0,34.60714286,15.97142857,67.09597009,0,0,461.35,8139286538,205555435,Aug,29418,-1,4759,1,0,7.782,7.792,7.793,7.776,-0.0005,-1,-1
