Date,Price,Open,High,Low,Change %,,,,
"Dec 22, 2016",6.516,6.516,6.516,6.516,0.82%,Dec,2016,22,
"Dec 21, 2016",6.463,6.463,6.463,6.463,-0.26%,Dec,2016,21,
"Dec 20, 2016",6.48,6.48,6.48,6.48,-0.46%,Dec,2016,20,
"Dec 19, 2016",6.51,6.51,6.51,6.51,0.06%,Dec,2016,19,
"Dec 16, 2016",6.506,6.506,6.506,6.506,-0.46%,Dec,2016,16,
"Dec 15, 2016",6.536,6.536,6.536,6.536,2.00%,Dec,2016,15,
"Dec 14, 2016",6.408,6.408,6.408,6.408,-0.23%,Dec,2016,14,
"Dec 13, 2016",6.423,6.423,6.423,6.423,-0.28%,Dec,2016,13,
"Dec 09, 2016",6.441,6.441,6.441,6.441,0.66%,Dec,2016,09,
"Dec 08, 2016",6.399,6.399,6.399,6.399,-0.11%,Dec,2016,08,
"Dec 07, 2016",6.406,6.406,6.406,6.406,3.29%,Dec,2016,07,
"Dec 06, 2016",6.202,6.202,6.202,6.202,-0.24%,Dec,2016,06,
"Dec 05, 2016",6.217,6.217,6.217,6.217,-0.26%,Dec,2016,05,
"Dec 02, 2016",6.233,6.233,6.233,6.233,0.29%,Dec,2016,02,
"Dec 01, 2016",6.215,6.215,6.215,6.215,-0.50%,Dec,2016,01,
"Nov 30, 2016",6.246,6.246,6.246,6.246,-1.17%,Nov,2016,30,
"Nov 29, 2016",6.32,6.32,6.32,6.32,-0.09%,Nov,2016,29,
"Nov 28, 2016",6.326,6.326,6.326,6.326,1.49%,Nov,2016,28,
"Nov 25, 2016",6.233,6.233,6.233,6.233,0.74%,Nov,2016,25,
"Nov 24, 2016",6.187,6.187,6.187,6.187,-1.48%,Nov,2016,24,
"Nov 23, 2016",6.28,6.28,6.28,6.28,-0.46%,Nov,2016,23,
"Nov 22, 2016",6.309,6.309,6.309,6.309,0.08%,Nov,2016,22,
"Nov 21, 2016",6.304,6.304,6.304,6.304,-1.93%,Nov,2016,21,
"Nov 18, 2016",6.428,6.428,6.428,6.428,0.14%,Nov,2016,18,
"Nov 17, 2016",6.419,6.419,6.419,6.419,-0.42%,Nov,2016,17,
"Nov 16, 2016",6.446,6.446,6.446,6.446,-1.35%,Nov,2016,16,
"Nov 15, 2016",6.534,6.534,6.534,6.534,-2.85%,Nov,2016,15,
"Nov 11, 2016",6.726,6.726,6.726,6.726,1.01%,Nov,2016,11,
"Nov 10, 2016",6.659,6.659,6.659,6.659,-0.13%,Nov,2016,10,
"Nov 09, 2016",6.668,6.668,6.668,6.668,-1.93%,Nov,2016,09,
"Nov 08, 2016",6.799,6.799,6.799,6.799,-0.53%,Nov,2016,08,
"Nov 07, 2016",6.835,6.835,6.835,6.835,-0.10%,Nov,2016,07,
"Nov 04, 2016",6.842,6.842,6.842,6.842,0.31%,Nov,2016,04,
"Nov 03, 2016",6.821,6.821,6.821,6.821,-1.17%,Nov,2016,03,
"Nov 02, 2016",6.902,6.902,6.902,6.902,-0.13%,Nov,2016,02,
"Nov 01, 2016",6.911,6.911,6.911,6.911,0.36%,Nov,2016,01,
"Oct 28, 2016",6.886,6.886,6.886,6.886,-0.06%,Oct,2016,28,
"Oct 27, 2016",6.89,6.89,6.89,6.89,0.26%,Oct,2016,27,
"Oct 26, 2016",6.872,6.872,6.872,6.872,0.01%,Oct,2016,26,
"Oct 25, 2016",6.871,6.871,6.871,6.871,0.22%,Oct,2016,25,
"Oct 24, 2016",6.856,6.856,6.856,6.856,0.09%,Oct,2016,24,
"Oct 21, 2016",6.85,6.85,6.85,6.85,0.01%,Oct,2016,21,
"Oct 20, 2016",6.849,6.849,6.849,6.849,0.44%,Oct,2016,20,
"Oct 19, 2016",6.819,6.819,6.819,6.819,0.06%,Oct,2016,19,
"Oct 18, 2016",6.815,6.815,6.815,6.815,-0.44%,Oct,2016,18,
"Oct 17, 2016",6.845,6.845,6.845,6.845,-0.13%,Oct,2016,17,
"Oct 15, 2016",6.854,6.854,6.854,6.854,0.00%,Oct,2016,15,
"Oct 14, 2016",6.854,6.854,6.854,6.854,0.35%,Oct,2016,14,
"Oct 13, 2016",6.83,6.83,6.83,6.83,0.16%,Oct,2016,13,
"Oct 10, 2016",6.819,6.819,6.819,6.819,-0.44%,Oct,2016,10,
"Oct 07, 2016",6.849,6.849,6.849,6.849,0.38%,Oct,2016,07,
"Oct 06, 2016",6.823,6.823,6.823,6.823,0.37%,Oct,2016,06,
"Oct 05, 2016",6.798,6.798,6.798,6.798,-0.63%,Oct,2016,05,
"Oct 04, 2016",6.841,6.841,6.841,6.841,-0.86%,Oct,2016,04,
"Oct 03, 2016",6.9,6.9,6.9,6.9,-0.89%,Oct,2016,03,
"Sep 30, 2016",6.962,6.962,6.962,6.962,-0.76%,Sep,2016,30,
"Sep 29, 2016",7.015,7.015,7.015,7.015,1.33%,Sep,2016,29,
"Sep 28, 2016",6.923,6.923,6.923,6.923,-0.19%,Sep,2016,28,
"Sep 27, 2016",6.936,6.936,6.936,6.936,0.00%,Sep,2016,27,
"Sep 26, 2016",6.936,6.936,6.936,6.936,-0.43%,Sep,2016,26,
"Sep 25, 2016",6.966,6.966,6.966,6.966,0.00%,Sep,2016,25,
"Sep 24, 2016",6.966,6.966,6.966,6.966,0.00%,Sep,2016,24,
"Sep 23, 2016",6.966,6.966,6.966,6.966,-0.16%,Sep,2016,23,
"Sep 22, 2016",6.977,6.977,6.977,6.977,-0.89%,Sep,2016,22,
"Sep 21, 2016",7.04,7.04,7.04,7.04,-0.35%,Sep,2016,21,
